"","specie_name","specie_code"
"495","Systomus sarana","321753"
"496","Thryssocypris ornithostoma","1011281"
"497","Tropidophoxinellus hellenicus","1475751"
"498","Typhlobarbus nudiventris","1012240"
"499","Xenobarbus loveridgei","1383198"
"500","Xenocypris argentea","1020760"
"501","Xenocypris davidi","283183"
"502","Blicca bjoerkna","154274"
"503","Barbonymus gonionotus","1026316"
"504","Barbonymus altus","1015056"
"505","Barbonymus schwanenfeldii","1622247"
"506","Luciobarbus bocagei","474117"
"507","Luciobarbus comizo","1021045"
"508","Luciobarbus graellsii","1020876"
"509","Luciobarbus sclateri","1020754"
"510","Luciobarbus capito","1016630"
"511","Gymnodiptychus dybowskii","1019694"
"512","Gymnodiptychus pachycheilus","1019225"
"513","Aspiorhynchus laticeps","1017931"
"514","Coreius guichenoti","1014768"
"515","Percocypris pingi","1015890"
"516","Ancherythroculter nigrocauda","1013508"
"517","Varicorhinus beso","1022119"
"518","Ballerus ballerus","279859"
"519","Ballerus sapa","1014943"
"520","Enteromius litamba","1526060"
"521","Gymnostomus ariza","1526395"
"522","Squalius cephalus","282855"
"523","Telestes souffia","-999"
"524","Cyprinidae","-999"
"525","Gyrinocheilus aymonieri","1026903"
"526","Acanthopsoides delphax","1384003"
"527","Acantopsis choirorhynchos","275369"
"528","Botia dario","1011889"
"529","Cobitis aurata","1021109"
"530","Cobitis biwae","1250561"
"531","Cobitis taenia","154373"
"532","Cobitis granoei","1247435"
"533","Cobitis maroccana","1015986"
"534","Lepidocephalichthys guntea","281291"
"535","Lepidocephalichthys thermalis","1021849"
"536","Somileptes gongota","1623318"
"537","Sabanejewia balcanica","1016368"
"538","Paramisgurnus dabryanus","-999"
"539","Pangio agma","1525867"
"540","Niwaella delicata","1015085"
"541","Leptobotia curta","1623089"
"542","Neoeucirrhichthys maydelli","1011807"
"543","Lepidocephalus annandalei","1623315"
"544","Misgurnus anguillicaudatus","991279"
"545","Misgurnus fossilis","154352"
"546","Misgurnus mizolepis","1019737"
"547","Iksookimia choii","1593802"
"548","Enobarbichthys maculatus","1535165"
"549","Chromobotia macracanthus","1021712"
"550","Yasuhikotakia modesta","1020293"
"551","Syncrossus hymenophysa","1021711"
"552","Psilorhynchus sucatio","1022789"
"553","Aborichthys elongatus","1016819"
"554","Acanthocobitis botia","1026425"
"555","Annamia normani","1015814"
"556","Balitora annamitica","1011773"
"557","Barbatula barbatula","1013379"
"558","Barbucca diabolica","1011539"
"559","Bhavania australis","1016886"
"560","Crossostoma lacustre","1012167"
"561","Ellopostoma megalomycter","1526182"
"562","Gastromyzon borneensis","1020372"
"563","Glaniopsis denudata","1383774"
"564","Hemimyzon formosanum","1620864"
"565","Homaloptera bilineata","1020638"
"566","Hypergastromyzon eubranchus","1011289"
"567","Indoreonectes evezardi","1020541"
"568","Lefua echigonia","1018274"
"569","Micronemacheilus cruciatus","1529774"
"570","Nemacheilus abyssinicus","1624299"
"571","Nemacheilus denisoni","1020438"
"572","Neogastromyzon nieuwenhuisii","1018497"
"573","Neohomaloptera johorensis","1014561"
"574","Neonoemacheilus labeosus","1012279"
"575","Oreonectes anophthalmus","1011783"
"576","Orthrias panthera","1623380"
"577","Parhomaloptera microstoma","1019061"
"578","Physoschistura brunneanus","1621979"
"579","Protomyzon aphelocheilus","1013663"
"580","Schistura balteata","1014326"
"581","Sectoria atriceps","1014467"
"582","Sewellia lineolata","1021995"
"583","Sinogastromyzon puliensis","1012882"
"584","Sphaerophysa dianchiensis","1011777"
"585","Sundoreonectes tiomanensis","1526409"
"586","Travancoria jonesi","1014754"
"587","Triplophysa choprai","1015561"
"588","Troglocobitis starostini","1012188"
"589","Tuberoschistura cambodgiensis","1011416"
"590","Vaillantella cinnamomea","1384063"
"591","Yunnanilus altus","1011772"
"592","Alticorpus macrocleithrum","1011988"
"593","Altolamprologus calvus","1012644"
"594","Amphilophus citrinellus","991188"
"595","Anomalochromis thomasi","1017217"
"596","Apistogrammoides pucallpaensis","1013457"
"597","Archocentrus centrarchus","1020252"
"598","Aristochromis christyi","1015286"
"599","Asprotilapia leptura","1575445"
"600","Aulonocara auditor","1015452"
"601","Aulonocranus dewindti","1026857"
"602","Baileychromis centropomoides","1012734"
"603","Benthochromis tricoti","1014336"
"604","Biotodoma cupido","1022401"
"605","Biotoecus opercularis","1422068"
"606","Boulengerochromis microlepis","1019102"
"607","Buccochromis atritaeniatus","1016783"
"608","Bujurquina cordemadi","1011854"
"609","Callochromis macrops","1015838"
"610","Caprichromis liemi","1012283"
"611","Caquetaia kraussii","1020130"
"612","Cardiopharynx schoutedeni","1014666"
"613","Chaetobranchopsis australis","1018294"
"614","Chaetobranchus flavescens","1020536"
"615","Chalinochromis brichardi","1011560"
"616","Champsochromis caeruleus","1015841"
"617","Cheilochromis euchilus","1525377"
"618","Chilochromis duponti","1018790"
"619","Chilotilapia rhoadesii","1018045"
"620","Chromidotilapia batesii","1624117"
"621","Cleithracara maronii","405367"
"622","Copadichromis azureus","1011431"
"623","Copadichromis virginalis","1013823"
"624","Corematodus shiranus","1019220"
"625","Ctenopharynx intermedius","1021066"
"626","Cunningtonia longiventralis","1018398"
"627","Cyathopharynx furcifer","1019098"
"628","Cyclopharynx fwae","1014298"
"629","Cyprichromis leptosoma","1019204"
"630","Cyrtocara moorii","1018794"
"631","Danakilia franchettii","1015849"
"632","Dicrossus maculatus","1015148"
