"specie_name","specie_code"
"Tilapia mariae","282978"
"Tilapia nyongana","1052232"
"Tilapia rheophila","1528168"
"Tilapia ruweti","1013494"
"Tilapia snyderae","1566600"
"Tilapia spongotroktis","1566601"
"Tilapia tholloni","1389339"
"Tilapia thysi","1566602"
"Tilapia walteri","1051899"
"Eclectochromis festivus","1622335"
"Ectodus descampsii","1019144"
"Enantiopus albini","1624133"
"Eretmodus cyanostictus","1019145"
"Exochochromis anagenys","1011572"
"Fossorochromis rostratus","1016786"
"Gephyrochromis lawsi","1013944"
"Gnathochromis permaxillaris","1525326"
"Gobiocichla ethelwynnae","1383760"
"Grammatotria lemairii","1383111"
"Greenwoodochromis bellcrossi","1524338"
"Guianacara oelemariensis","1011517"
"Gymnogeophagus balzanii","1017030"
"Haplotaxodon microlepis","1018397"
"Hemibates stenosoma","1018934"
"Hemitaeniochromis urotaenia","1016809"
"Hemitilapia oxyrhyncha","1622246"
"Heros appendiculatus","1536789"
"Herotilapia multispinosa","1020830"
"Heterochromis multidens","1017102"
"Hoplarchus psittacus","1021214"
"Hoplotilapia retrodens","1053098"
"Hypselecara coryphaenoides","1015162"
"Hypsophrys nicaraguensis","1017636"
"Iodotropheus sprengerae","1013080"
"Iranocichla hormuzensis","281182"
"Konia dikume","1013081"
"Krobia guianensis","1018526"
"Laetacara flavilabris","1026271"
"Lepidiolamprologus attenuatus","1017315"
"Lestradea perspicax","1014582"
"Lethrinops albus","1016694"
"Lichnochromis acuticeps","1015285"
"Limbochromis cavalliensis","1595079"
"Limnochromis abeelei","1014258"
"Macropleurodus bicolor","1054090"
"Maravichromis formosus","1623897"
"Docimodus johnstoni","1019221"
"Mesonauta festivus","1022351"
"Microchromis zebroides","1012251"
"Microdontochromis rotundiventralis","1527599"
"Microgeophagus ramirezi","1621910"
"Myaka myaka","1013082"
"Naevochromis chrysogaster","1015431"
"Nanochromis consortus","1012777"
"Neetroplus nematopus","1020817"
"Neolamprologus boulengeri","1622733"
"Nimbochromis fuscotaeniatus","1016789"
"Nimbochromis polystigma","1015297"
"Nyassachromis breviceps","1016810"
"Ophthalmotilapia boops","1018931"
"Otopharynx argyrosoma","1016800"
"Oxylapia polli","1013423"
"Paracyprichromis brieni","1524197"
"Paralabidochromis victoriae","1528629"
"Parananochromis caudifasciatus","1017473"
"Paratilapia polleni","1019611"
"Paretroplus damii","1019595"
"Pelmatochromis buettikoferi","1017455"
"Pelvicachromis humilis","1531234"
"Crenicichla johanna","1021123"
"Crenicichla saxatilis","1022945"
"Crenicichla alta","1011312"
"Crenicichla lepidota","1011320"
"Crenicichla lenticulata","1018520"
"Crenicichla lugubris","1022289"
"Perissodus eccentricus","1012776"
"Petenia splendida","1021117"
"Cyphotilapia frontosa","1018473"
"Pharyngochromis darlingi","1054091"
"Placidochromis electra","1012526"
"Platygnathochromis melanonotus","1623900"
"Platytaeniodus degeni","1018480"
"Plecodus elaviae","1014257"
"Protomelas annectens","1016808"
"Pseudocrenilabrus nicholsi","1016099"
"Pseudosimochromis curvifrons","1014728"
"Geophagus brasiliensis","-999"
"Geophagus proximus","1021549"
"Geophagus abalios","1009482"
"Geophagus pellegrini","1017544"
"Geophagus steindachneri","1014603"
"Limnotilapia dardennii","1027001"
"Xenochromis hecqui","1019031"
"Petrochromis polyodon","1018877"
"Xenotilapia bathyphila","1524899"
"Hemichromis bimaculatus","281018"
"Hemichromis fasciatus","581701"
"Etroplus maculatus","280727"
"Etroplus suratensis","280728"
"Astronotus ocellatus","862538"
"Pungu maclareni","1052229"
"Bathybates ferox","1019147"
"Bathybates minor","1018399"
"Haplochromis acidens","1013358"
"Haplochromis desfontainii","1622599"
"Haplochromis burtoni","991220"
"Haplochromis nyererei","1011954"
"Lamprologus callipterus","1017214"
